Tamanho da Mensagem;Tempo de Resposta
1262;9,085218282
83072;41,087515099
51043;28,057801487
79979;42,063726066
21358;12,074804686
40494;21,046033036
81066;42,099254134
13247;10,09425063
34645;18,0412591
37911;22,081231601
84532;45,079879193
75352;41,061636269
74212;39,070517317
35504;18,075080505
2670;5,069591228
30570;19,116363186
10554;8,072645131
38461;22,071138945
20453;12,03729796
1166;4,049018283
87149;45,043446532
98387;51,043613289
53899;28,063347783
96012;49,059894304
52085;30,080639362
31614;17,043180101
81790;44,101423596
46346;24,050422955
72253;39,056032188
85551;44,031952942
72307;37,07340331
19241;13,069306199
49154;28,070564808
22134;14,062327662
14671;10,064281846
79048;42,079705796
5807;6,104697594
6476;6,040931944
78301;40,034453199
53104;27,078509299
36095;21,072885003
77028;42,062151714
8910;7,049677359
11716;8,026510284
45849;26,037651077
18329;12,030075647
27739;16,066855199
18390;12,031684565
42863;24,056928913
70793;38,05539916
