Tamanho da Mensagem;Tempo de Resposta
0;28,357353256906507
5000;56,33367996642607
10000;89,16009897322436
15000;122,44686551448257
20000;155,67899545692563
25000;188,6323592912365
30000;221,39506155873303
35000;256,05385419255674
40000;290,419400082184
45000;323,4558111775195
50000;357,02762309732515
55000;392,28897567707725
60000;423,5315384660511
