Tamanho da Mensagem;Tempo de Resposta
0;0,26745615193476185
5000;0,22542616547898464
10000;0,22582515406264048
15000;0,20277629560855095
20000;0,2035499434080153
25000;0,21889360610426378
30000;0,2260781706943342
35000;0,23308965537008622
40000;0,2691876489179146
45000;0,25121719885493426
50000;0,26248478822338434
55000;0,31425383637239046
60000;0,33086605866158514
65000;0,30665082027173596
70000;0,3296746557731313
75000;0,3249563086934475
80000;0,31773976828172784
85000;0,5942864531288466
90000;0,3818809205196813
95000;0,3408491005262644
100000;0,3567321608956171
