Tamanho da Mensagem;Tempo de Resposta
0;0,11882337021347594
5000;0,12658417332084498
10000;0,14846178681662972
15000;0,17484852163680623
20000;0,15331706796965833
25000;0,11359968487362539
30000;0,1458822667607771
35000;0,14399020133965304
40000;0,13244526739003584
45000;0,1436996488605442
50000;0,17031924238226542
55000;0,18367561145078456
60000;0,12274582513551031
65000;0,14986380546681705
70000;0,16470352132771418
75000;0,19581902685751157
80000;0,17136467473713107
85000;0,18737563413795907
90000;0,14886911685730822
95000;0,17519885290314136
100000;0,1782663347202685
