Tamanho da Mensagem;Tempo de Resposta
0;0,2548067004278996
5000;0,24157545037797282
10000;0,22919639483844426
15000;0,3128796206877802
20000;0,24447819373780424
25000;0,24396173400773194
30000;0,25769206728883887
35000;0,27732658909394364
40000;0,3052800796032293
45000;0,330419804185424
50000;0,3039517412230568
55000;0,3841684995083576
60000;0,3322875402387008
65000;0,3899698133719482
70000;0,38189482342084374
75000;0,39099161278056116
80000;0,42266042030299916
85000;0,7393318182868295
90000;0,44225045481010766
95000;0,43050394155900035
100000;0,5122255931548957
