Tamanho da Mensagem;Tempo de Resposta
0;0,17267077017749236
5000;0,2167756320138023
10000;0,16638149455262716
15000;0,28752650174934297
20000;0,1818544462867924
25000;0,22135773860498817
30000;0,18253425446771898
35000;0,19557921812375956
40000;0,18085697624602673
45000;0,20363127013183208
50000;0,23260864505939288
55000;0,19962887707404847
60000;0,19296911367107306
65000;0,21088325996293075
70000;0,27982408742275877
75000;0,2718714336406159
80000;0,3338605537935443
85000;0,5256333981352446
90000;0,2849275187665621
95000;0,2807325842859057
100000;0,23687934765647412
