Tamanho da Mensagem;Tempo de Resposta
0;0,31681180849165264
5000;0,26895201020348697
10000;0,3310071641726282
15000;0,3142587028133095
20000;0,3305998341319497
25000;0,28882634074234376
30000;0,3483944242677287
35000;0,3581501674566291
40000;0,3747596111513148
45000;0,39353081697611575
50000;0,41794971967711725
55000;0,4404828134043552
60000;0,45094825700454316
65000;0,4413878352513985
70000;0,4423241364984964
75000;0,44977701062786446
80000;0,47573417246755123
85000;0,8236705257859924
90000;0,8471746751764866
95000;0,5509003239089459
100000;0,5643275932345969
