Tamanho da Mensagem;Tempo de Resposta
0;0,3324606201530192
5000;0,30730421549352693
10000;0,34153030013200636
15000;0,4052606487315516
20000;0,40848522255217257
25000;0,3557972510733346
30000;0,3585067551703247
35000;0,45557693448501363
40000;0,4265550722594565
45000;0,4219423798530628
50000;0,43618361283847623
55000;0,4757967312676605
60000;0,5183376174277442
65000;0,48529946066161495
70000;0,503021062693852
75000;0,5530078715327226
80000;0,6139744972738173
85000;0,9030274416887192
90000;0,9323794786688363
95000;0,6679518812789711
100000;0,6462515191352032
