Tamanho da Mensagem;Tempo de Resposta
30536;1,019535428
89689;1,025204785
34903;1,014577009
59789;1,01368706
95410;1,014951085
48728;1,013040627
93403;1,016502858
88505;1,014684891
13160;1,014157026
4739;1,020341874
72834;1,017308902
80583;1,015758784
59194;1,016036946
46388;1,009883143
84860;1,014668346
10325;1,013339554
31871;1,014404402
64791;1,012639331
16214;1,015373504
4327;1,012961575
84268;1,013402703
39658;1,013936049
89230;1,014888335
58906;1,015194808
28730;1,013952204
39576;1,014124177
25874;1,014687804
74011;1,015634806
59212;1,012272157
71221;1,013484579
20667;1,01338813
23841;1,014190052
69909;1,015755893
81464;1,01306141
6156;1,014417662
46257;1,012749327
55038;1,012839021
94085;1,013568336
39441;1,015771343
32659;1,015346463
71618;1,016096763
14479;1,012497098
86663;1,014461409
53099;1,012617372
68649;1,014498201
84076;1,015508153
89992;1,0114227
54329;1,013342852
29469;1,027271073
99112;1,01210388
